data,variable,value
2020-04-12,tempo_sedentario,728
2020-04-13,tempo_sedentario,776
2020-04-15,tempo_sedentario,726
2020-04-16,tempo_sedentario,773
2020-04-17,tempo_sedentario,539
2020-04-19,tempo_sedentario,775
2020-04-20,tempo_sedentario,818
2020-04-21,tempo_sedentario,838
2020-04-23,tempo_sedentario,732
2020-04-24,tempo_sedentario,709
2020-04-25,tempo_sedentario,814
2020-04-26,tempo_sedentario,833
2020-04-28,tempo_sedentario,782
2020-04-29,tempo_sedentario,815
2020-04-30,tempo_sedentario,712
2020-05-01,tempo_sedentario,730
2020-05-02,tempo_sedentario,798
2020-05-03,tempo_sedentario,816
2020-05-05,tempo_sedentario,857
2020-05-06,tempo_sedentario,754
2020-05-07,tempo_sedentario,833
2020-05-08,tempo_sedentario,574
2020-05-09,tempo_sedentario,835
2020-05-10,tempo_sedentario,746
2020-05-11,tempo_sedentario,669
2020-04-29,tempo_sedentario,1193
2020-04-30,tempo_sedentario,816
2020-05-02,tempo_sedentario,682
2020-05-08,tempo_sedentario,991
2020-04-15,tempo_sedentario,527
2020-04-30,tempo_sedentario,218
2020-05-01,tempo_sedentario,585
2020-04-12,tempo_sedentario,734
2020-04-13,tempo_sedentario,986
2020-04-15,tempo_sedentario,941
2020-04-26,tempo_sedentario,1058
2020-04-28,tempo_sedentario,1167
2020-04-12,tempo_sedentario,706
2020-04-13,tempo_sedentario,663
2020-04-14,tempo_sedentario,653
2020-04-15,tempo_sedentario,687
2020-04-16,tempo_sedentario,728
2020-04-17,tempo_sedentario,1053
2020-04-19,tempo_sedentario,785
2020-04-20,tempo_sedentario,623
2020-04-21,tempo_sedentario,749
2020-04-22,tempo_sedentario,712
2020-04-23,tempo_sedentario,458
2020-04-24,tempo_sedentario,704
2020-04-25,tempo_sedentario,821
2020-04-27,tempo_sedentario,586
2020-04-28,tempo_sedentario,626
2020-04-29,tempo_sedentario,492
2020-04-30,tempo_sedentario,594
2020-05-01,tempo_sedentario,716
2020-05-02,tempo_sedentario,716
2020-05-04,tempo_sedentario,530
2020-05-05,tempo_sedentario,479
2020-05-06,tempo_sedentario,511
2020-05-07,tempo_sedentario,665
2020-05-08,tempo_sedentario,610
2020-05-09,tempo_sedentario,543
2020-05-10,tempo_sedentario,1002
2020-05-11,tempo_sedentario,569
2020-05-12,tempo_sedentario,330
2020-04-23,tempo_sedentario,1129
2020-04-13,tempo_sedentario,676
2020-04-14,tempo_sedentario,705
2020-04-15,tempo_sedentario,720
2020-04-17,tempo_sedentario,508
2020-04-18,tempo_sedentario,678
2020-04-19,tempo_sedentario,648
2020-04-21,tempo_sedentario,761
2020-04-22,tempo_sedentario,781
2020-04-23,tempo_sedentario,591
2020-04-24,tempo_sedentario,584
2020-04-25,tempo_sedentario,653
2020-04-26,tempo_sedentario,732
2020-04-27,tempo_sedentario,623
2020-04-28,tempo_sedentario,764
2020-04-29,tempo_sedentario,2
2020-04-12,tempo_sedentario,777
2020-04-13,tempo_sedentario,754
2020-04-14,tempo_sedentario,801
2020-04-15,tempo_sedentario,644
2020-04-16,tempo_sedentario,663
2020-04-17,tempo_sedentario,600
2020-04-18,tempo_sedentario,605
2020-04-19,tempo_sedentario,738
2020-04-20,tempo_sedentario,845
2020-04-21,tempo_sedentario,712
2020-04-22,tempo_sedentario,731
2020-04-23,tempo_sedentario,724
2020-04-24,tempo_sedentario,660
2020-04-25,tempo_sedentario,781
2020-04-26,tempo_sedentario,797
2020-04-27,tempo_sedentario,714
2020-04-28,tempo_sedentario,804
2020-04-29,tempo_sedentario,744
2020-04-30,tempo_sedentario,687
2020-05-01,tempo_sedentario,691
2020-05-02,tempo_sedentario,713
2020-05-03,tempo_sedentario,594
2020-05-04,tempo_sedentario,852
2020-05-05,tempo_sedentario,680
2020-05-06,tempo_sedentario,676
2020-05-07,tempo_sedentario,703
